Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
655,21,82,328,10/5/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Lose,21,108,100-109,2,10,Cup Win,NO,Win
656,21,82,328,10/5/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Win,28,83,080-089,1,6,Cup Lose,NO,Lose
657,21,83,329,10/5/13,Extra,3 Star Cup,9 Wario Stadium,Mario,0,Lose,Tie,21,108,100-109,2,10,Cup Win,NO,Win
658,21,83,329,10/5/13,Extra,3 Star Cup,9 Wario Stadium,Peter,9,Win,Tie,21,83,080-089,1,6,Cup Lose,NO,Lose
659,21,83,330,10/5/13,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Tie,21,108,100-109,2,10,Cup Win,NO,Win
660,21,83,330,10/5/13,Extra,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Tie,21,83,080-089,1,6,Cup Lose,NO,Lose
661,21,83,331,10/5/13,Extra,3 Star Cup,11 Royal Raceway,Mario,9,Win,Tie,21,108,100-109,2,10,Cup Win,NO,Win
662,21,83,331,10/5/13,Extra,3 Star Cup,11 Royal Raceway,Peter,0,Lose,Tie,21,83,080-089,1,6,Cup Lose,NO,Lose
663,21,83,332,10/5/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,3,Lose,Tie,21,108,100-109,2,10,Cup Win,YES,Win
664,21,83,332,10/5/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,6,Win,Tie,21,83,080-089,1,6,Cup Lose,YES,Lose
665,21,84,333,10/5/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,30,108,100-109,2,10,Cup Win,NO,Win
666,21,84,333,10/5/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,1,Lose,Lose,16,83,080-089,1,6,Cup Lose,NO,Lose
667,21,84,334,10/5/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Win,30,108,100-109,2,10,Cup Win,NO,Win
668,21,84,334,10/5/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Lose,16,83,080-089,1,6,Cup Lose,NO,Lose
669,21,84,335,10/5/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,6,Win,Win,30,108,100-109,2,10,Cup Win,YES,Win
670,21,84,335,10/5/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Lose,16,83,080-089,1,6,Cup Lose,YES,Lose
671,21,84,336,10/5/13,Extra,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,30,108,100-109,2,10,Cup Win,NO,Win
672,21,84,336,10/5/13,Extra,4 Special Cup,16 Rainbow Road,Peter,3,Lose,Lose,16,83,080-089,1,6,Cup Lose,NO,Lose
673,22,85,337,10/6/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,19,112,110-119,2,9,Points Lose,NO,Lose
674,22,85,337,10/6/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,33,114,110-119,2,7,Points Win,NO,Win
675,22,85,338,10/6/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,1,Lose,Lose,19,112,110-119,2,9,Points Lose,YES,Lose
676,22,85,338,10/6/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Win,Win,33,114,110-119,2,7,Points Win,YES,Win
677,22,85,339,10/6/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,19,112,110-119,2,9,Points Lose,NO,Lose
678,22,85,339,10/6/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,33,114,110-119,2,7,Points Win,NO,Win
679,22,85,340,10/6/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,19,112,110-119,2,9,Points Lose,NO,Lose
680,22,85,340,10/6/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,33,114,110-119,2,7,Points Win,NO,Win
681,22,86,341,10/6/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
682,22,86,341,10/6/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
683,22,86,342,10/6/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
684,22,86,342,10/6/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
685,22,86,343,10/6/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
686,22,86,343,10/6/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
687,22,86,344,10/6/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
688,22,86,344,10/6/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
689,22,87,345,10/6/13,150cc,3 Star Cup,9 Wario Stadium,Mario,3,Lose,Lose,21,112,110-119,2,9,Points Lose,NO,Lose
690,22,87,345,10/6/13,150cc,3 Star Cup,9 Wario Stadium,Peter,9,Win,Win,33,114,110-119,2,7,Points Win,NO,Win
691,22,87,346,10/6/13,150cc,3 Star Cup,10 Sherbert Land,Mario,3,Lose,Lose,21,112,110-119,2,9,Points Lose,NO,Lose
692,22,87,346,10/6/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,33,114,110-119,2,7,Points Win,NO,Win
693,22,87,347,10/6/13,150cc,3 Star Cup,11 Royal Raceway,Mario,6,Lose,Lose,21,112,110-119,2,9,Points Lose,NO,Lose
694,22,87,347,10/6/13,150cc,3 Star Cup,11 Royal Raceway,Peter,9,Win,Win,33,114,110-119,2,7,Points Win,NO,Win
695,22,87,348,10/6/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Lose,21,112,110-119,2,9,Points Lose,NO,Lose
696,22,87,348,10/6/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Win,33,114,110-119,2,7,Points Win,NO,Win
697,22,88,349,10/6/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
698,22,88,349,10/6/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
699,22,88,350,10/6/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
700,22,88,350,10/6/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
701,22,88,351,10/6/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
702,22,88,351,10/6/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
703,22,88,352,10/6/13,150cc,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,36,112,110-119,2,9,Points Lose,NO,Lose
704,22,88,352,10/6/13,150cc,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Lose,24,114,110-119,2,7,Points Win,NO,Win
705,23,89,353,10/6/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
706,23,89,353,10/6/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
707,23,89,354,10/6/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
708,23,89,354,10/6/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
709,23,89,355,10/6/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
710,23,89,355,10/6/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
711,23,89,356,10/6/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
712,23,89,356,10/6/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
713,23,90,357,10/6/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,0,Lose,Win,27,132,130-139,4,14,Cup Win,NO,Win
714,23,90,357,10/6/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
715,23,90,358,10/6/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Win,27,132,130-139,4,14,Cup Win,NO,Win
716,23,90,358,10/6/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
717,23,90,359,10/6/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,27,132,130-139,4,14,Cup Win,NO,Win
718,23,90,359,10/6/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,3,Lose,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
719,23,90,360,10/6/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,27,132,130-139,4,14,Cup Win,NO,Win
720,23,90,360,10/6/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,24,81,080-089,0,2,Cup Lose,NO,Lose
721,23,91,361,10/6/13,Extra,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,33,132,130-139,4,14,Cup Win,NO,Win
722,23,91,361,10/6/13,Extra,3 Star Cup,9 Wario Stadium,Peter,0,Lose,Lose,21,81,080-089,0,2,Cup Lose,NO,Lose
723,23,91,362,10/6/13,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Win,33,132,130-139,4,14,Cup Win,NO,Win
724,23,91,362,10/6/13,Extra,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Lose,21,81,080-089,0,2,Cup Lose,NO,Lose
725,23,91,363,10/6/13,Extra,3 Star Cup,11 Royal Raceway,Mario,6,Lose,Win,33,132,130-139,4,14,Cup Win,NO,Win
726,23,91,363,10/6/13,Extra,3 Star Cup,11 Royal Raceway,Peter,9,Win,Lose,21,81,080-089,0,2,Cup Lose,NO,Lose
727,23,91,364,10/6/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,33,132,130-139,4,14,Cup Win,NO,Win
728,23,91,364,10/6/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Lose,21,81,080-089,0,2,Cup Lose,NO,Lose
729,23,92,365,10/6/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
730,23,92,365,10/6/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,0,Lose,Lose,12,81,080-089,0,2,Cup Lose,NO,Lose
731,23,92,366,10/6/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
732,23,92,366,10/6/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Lose,12,81,080-089,0,2,Cup Lose,NO,Lose
733,23,92,367,10/6/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
734,23,92,367,10/6/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,0,Lose,Lose,12,81,080-089,0,2,Cup Lose,NO,Lose
735,23,92,368,10/6/13,Extra,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,36,132,130-139,4,14,Cup Win,NO,Win
736,23,92,368,10/6/13,Extra,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Lose,12,81,080-089,0,2,Cup Lose,NO,Lose
737,24,93,369,10/12/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Win,33,115,110-119,2,8,Cup Win,NO,Win
738,24,93,369,10/12/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Lose,27,111,110-119,1,8,Cup Lose,NO,Lose
739,24,93,370,10/12/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,115,110-119,2,8,Cup Win,NO,Win
740,24,93,370,10/12/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Lose,27,111,110-119,1,8,Cup Lose,NO,Lose
741,24,93,371,10/12/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,33,115,110-119,2,8,Cup Win,NO,Win
742,24,93,371,10/12/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Lose,27,111,110-119,1,8,Cup Lose,NO,Lose
743,24,93,372,10/12/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Win,33,115,110-119,2,8,Cup Win,NO,Win
744,24,93,372,10/12/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Lose,27,111,110-119,1,8,Cup Lose,NO,Lose
745,24,94,373,10/12/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Tie,30,115,110-119,2,8,Cup Win,NO,Win
746,24,94,373,10/12/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Tie,30,111,110-119,1,8,Cup Lose,NO,Lose
747,24,94,374,10/12/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Tie,30,115,110-119,2,8,Cup Win,NO,Win
748,24,94,374,10/12/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Tie,30,111,110-119,1,8,Cup Lose,NO,Lose
749,24,94,375,10/12/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,6,Lose,Tie,30,115,110-119,2,8,Cup Win,NO,Win
750,24,94,375,10/12/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Tie,30,111,110-119,1,8,Cup Lose,NO,Lose
751,24,94,376,10/12/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Tie,30,115,110-119,2,8,Cup Win,NO,Win
752,24,94,376,10/12/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Tie,30,111,110-119,1,8,Cup Lose,NO,Lose
753,24,95,377,10/12/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,30,115,110-119,2,8,Cup Win,NO,Win
754,24,95,377,10/12/13,150cc,3 Star Cup,9 Wario Stadium,Peter,0,Lose,Lose,21,111,110-119,1,8,Cup Lose,NO,Lose
755,24,95,378,10/12/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,30,115,110-119,2,8,Cup Win,NO,Win
756,24,95,378,10/12/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,21,111,110-119,1,8,Cup Lose,NO,Lose
757,24,95,379,10/12/13,150cc,3 Star Cup,11 Royal Raceway,Mario,6,Lose,Win,30,115,110-119,2,8,Cup Win,NO,Win
758,24,95,379,10/12/13,150cc,3 Star Cup,11 Royal Raceway,Peter,9,Win,Lose,21,111,110-119,1,8,Cup Lose,NO,Lose
759,24,95,380,10/12/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,30,115,110-119,2,8,Cup Win,NO,Win
760,24,95,380,10/12/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,3,Lose,Lose,21,111,110-119,1,8,Cup Lose,NO,Lose
761,24,96,381,10/12/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Lose,22,115,110-119,2,8,Cup Win,NO,Win
762,24,96,381,10/12/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,33,111,110-119,1,8,Cup Lose,NO,Lose
763,24,96,382,10/12/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Lose,22,115,110-119,2,8,Cup Win,NO,Win
764,24,96,382,10/12/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,33,111,110-119,1,8,Cup Lose,NO,Lose
765,24,96,383,10/12/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,1,Lose,Lose,22,115,110-119,2,8,Cup Win,NO,Win
766,24,96,383,10/12/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,33,111,110-119,1,8,Cup Lose,NO,Lose
767,24,96,384,10/12/13,150cc,4 Special Cup,16 Rainbow Road,Mario,9,Win,Lose,22,115,110-119,2,8,Cup Win,NO,Win
768,24,96,384,10/12/13,150cc,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Win,33,111,110-119,1,8,Cup Lose,NO,Lose
769,25,97,385,10/12/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,27,102,100-109,2,8,Points Win,NO,Win
770,25,97,385,10/12/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,33,95,090-099,2,8,Points Lose,NO,Lose
771,25,97,386,10/12/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Lose,27,102,100-109,2,8,Points Win,NO,Win
772,25,97,386,10/12/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Win,33,95,090-099,2,8,Points Lose,NO,Lose
773,25,97,387,10/12/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,27,102,100-109,2,8,Points Win,NO,Win
774,25,97,387,10/12/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,33,95,090-099,2,8,Points Lose,NO,Lose
775,25,97,388,10/12/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,27,102,100-109,2,8,Points Win,NO,Win
776,25,97,388,10/12/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,33,95,090-099,2,8,Points Lose,NO,Lose
777,25,98,389,10/12/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,6,Lose,Lose,21,102,100-109,2,8,Points Win,NO,Win
778,25,98,389,10/12/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,24,95,090-099,2,8,Points Lose,NO,Lose
779,25,98,390,10/12/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,6,Win,Lose,21,102,100-109,2,8,Points Win,YES,Win
780,25,98,390,10/12/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,3,Lose,Win,24,95,090-099,2,8,Points Lose,YES,Lose
781,25,98,391,10/12/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,0,Lose,Lose,21,102,100-109,2,8,Points Win,NO,Win
782,25,98,391,10/12/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,24,95,090-099,2,8,Points Lose,NO,Lose
783,25,98,392,10/12/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,21,102,100-109,2,8,Points Win,NO,Win
784,25,98,392,10/12/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,3,Lose,Win,24,95,090-099,2,8,Points Lose,NO,Lose
785,25,99,393,10/12/13,Extra,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,24,102,100-109,2,8,Points Win,NO,Win
786,25,99,393,10/12/13,Extra,3 Star Cup,9 Wario Stadium,Peter,3,Lose,Lose,13,95,090-099,2,8,Points Lose,NO,Lose
787,25,99,394,10/12/13,Extra,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,24,102,100-109,2,8,Points Win,NO,Win
788,25,99,394,10/12/13,Extra,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,13,95,090-099,2,8,Points Lose,NO,Lose
789,25,99,395,10/12/13,Extra,3 Star Cup,11 Royal Raceway,Mario,6,Win,Win,24,102,100-109,2,8,Points Win,YES,Win
790,25,99,395,10/12/13,Extra,3 Star Cup,11 Royal Raceway,Peter,0,Lose,Lose,13,95,090-099,2,8,Points Lose,YES,Lose
791,25,99,396,10/12/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,3,Win,Win,24,102,100-109,2,8,Points Win,YES,Win
792,25,99,396,10/12/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,1,Lose,Lose,13,95,090-099,2,8,Points Lose,YES,Lose
793,25,100,397,10/12/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Win,30,102,100-109,2,8,Points Win,NO,Win
794,25,100,397,10/12/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Lose,25,95,090-099,2,8,Points Lose,NO,Lose
795,25,100,398,10/12/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Win,30,102,100-109,2,8,Points Win,NO,Win
796,25,100,398,10/12/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Lose,25,95,090-099,2,8,Points Lose,NO,Lose
797,25,100,399,10/12/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,30,102,100-109,2,8,Points Win,NO,Win
798,25,100,399,10/12/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,1,Lose,Lose,25,95,090-099,2,8,Points Lose,NO,Lose
799,25,100,400,10/12/13,Extra,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,30,102,100-109,2,8,Points Win,NO,Win
800,25,100,400,10/12/13,Extra,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Lose,25,95,090-099,2,8,Points Lose,NO,Lose
801,26,101,401,10/20/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,27,106,100-109,1,7,Cup Lose,NO,Lose
802,26,101,401,10/20/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
803,26,101,402,10/20/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,6,Lose,Lose,27,106,100-109,1,7,Cup Lose,NO,Lose
804,26,101,402,10/20/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
805,26,101,403,10/20/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,27,106,100-109,1,7,Cup Lose,NO,Lose
806,26,101,403,10/20/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
807,26,101,404,10/20/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Lose,27,106,100-109,1,7,Cup Lose,NO,Lose
808,26,101,404,10/20/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Win,33,112,110-119,3,9,Cup Win,NO,Win
809,26,102,405,10/20/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,0,Lose,Lose,21,106,100-109,1,7,Cup Lose,NO,Lose
810,26,102,405,10/20/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
811,26,102,406,10/20/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Lose,21,106,100-109,1,7,Cup Lose,NO,Lose
812,26,102,406,10/20/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
813,26,102,407,10/20/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,6,Lose,Lose,21,106,100-109,1,7,Cup Lose,NO,Lose
814,26,102,407,10/20/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
815,26,102,408,10/20/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,21,106,100-109,1,7,Cup Lose,NO,Lose
816,26,102,408,10/20/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Win,33,112,110-119,3,9,Cup Win,NO,Win
817,26,103,409,10/20/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Lose,25,106,100-109,1,7,Cup Lose,NO,Lose
818,26,103,409,10/20/13,150cc,3 Star Cup,9 Wario Stadium,Peter,3,Lose,Win,27,112,110-119,3,9,Cup Win,NO,Win
819,26,103,410,10/20/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Lose,25,106,100-109,1,7,Cup Lose,NO,Lose
820,26,103,410,10/20/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,27,112,110-119,3,9,Cup Win,NO,Win
821,26,103,411,10/20/13,150cc,3 Star Cup,11 Royal Raceway,Mario,9,Win,Lose,25,106,100-109,1,7,Cup Lose,NO,Lose
822,26,103,411,10/20/13,150cc,3 Star Cup,11 Royal Raceway,Peter,6,Lose,Win,27,112,110-119,3,9,Cup Win,NO,Win
823,26,103,412,10/20/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,1,Lose,Lose,25,106,100-109,1,7,Cup Lose,NO,Lose
824,26,103,412,10/20/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Win,27,112,110-119,3,9,Cup Win,NO,Win
825,26,104,413,10/20/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,33,106,100-109,1,7,Cup Lose,NO,Lose
826,26,104,413,10/20/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,19,112,110-119,3,9,Cup Win,NO,Win
827,26,104,414,10/20/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Win,33,106,100-109,1,7,Cup Lose,NO,Lose
828,26,104,414,10/20/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Lose,19,112,110-119,3,9,Cup Win,NO,Win
829,26,104,415,10/20/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,33,106,100-109,1,7,Cup Lose,NO,Lose
830,26,104,415,10/20/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Lose,19,112,110-119,3,9,Cup Win,NO,Win
831,26,104,416,10/20/13,150cc,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,33,106,100-109,1,7,Cup Lose,NO,Lose
832,26,104,416,10/20/13,150cc,4 Special Cup,16 Rainbow Road,Peter,1,Lose,Lose,19,112,110-119,3,9,Cup Win,NO,Win
833,27,105,417,10/20/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,30,88,080-089,1,6,Cup Lose,NO,Lose
834,27,105,417,10/20/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,3,Lose,Lose,24,109,100-109,3,10,Cup Win,NO,Win
835,27,105,418,10/20/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,3,Lose,Win,30,88,080-089,1,6,Cup Lose,NO,Lose
836,27,105,418,10/20/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Lose,24,109,100-109,3,10,Cup Win,NO,Win
837,27,105,419,10/20/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,30,88,080-089,1,6,Cup Lose,NO,Lose
