Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
41,2,6,21,8/25/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,30,117,110-119,3,9,Cup Win,NO,Win
42,2,6,21,8/25/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,27,108,100-109,1,7,Cup Lose,NO,Lose
43,2,6,22,8/25/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Win,30,117,110-119,3,9,Cup Win,NO,Win
44,2,6,22,8/25/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Lose,27,108,100-109,1,7,Cup Lose,NO,Lose
45,2,6,23,8/25/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,3,Lose,Win,30,117,110-119,3,9,Cup Win,NO,Win
46,2,6,23,8/25/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Lose,27,108,100-109,1,7,Cup Lose,NO,Lose
47,2,6,24,8/25/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,30,117,110-119,3,9,Cup Win,NO,Win
48,2,6,24,8/25/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,27,108,100-109,1,7,Cup Lose,NO,Lose
49,2,7,25,8/25/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Lose,27,117,110-119,3,9,Cup Win,NO,Win
50,2,7,25,8/25/13,150cc,3 Star Cup,9 Wario Stadium,Peter,3,Lose,Win,30,108,100-109,1,7,Cup Lose,NO,Lose
51,2,7,26,8/25/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Lose,27,117,110-119,3,9,Cup Win,NO,Win
52,2,7,26,8/25/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,30,108,100-109,1,7,Cup Lose,NO,Lose
53,2,7,27,8/25/13,150cc,3 Star Cup,11 Royal Raceway,Mario,6,Lose,Lose,27,117,110-119,3,9,Cup Win,NO,Win
54,2,7,27,8/25/13,150cc,3 Star Cup,11 Royal Raceway,Peter,9,Win,Win,30,108,100-109,1,7,Cup Lose,NO,Lose
55,2,7,28,8/25/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,6,Lose,Lose,27,117,110-119,3,9,Cup Win,NO,Win
56,2,7,28,8/25/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Win,30,108,100-109,1,7,Cup Lose,NO,Lose
57,2,8,29,8/25/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,27,117,110-119,3,9,Cup Win,NO,Win
58,2,8,29,8/25/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,24,108,100-109,1,7,Cup Lose,NO,Lose
59,2,8,30,8/25/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Win,27,117,110-119,3,9,Cup Win,NO,Win
60,2,8,30,8/25/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Lose,24,108,100-109,1,7,Cup Lose,NO,Lose
61,2,8,31,8/25/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,3,Lose,Win,27,117,110-119,3,9,Cup Win,YES,Win
62,2,8,31,8/25/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,6,Win,Lose,24,108,100-109,1,7,Cup Lose,YES,Lose
63,2,8,32,8/25/13,150cc,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,27,117,110-119,3,9,Cup Win,NO,Win
64,2,8,32,8/25/13,150cc,4 Special Cup,16 Rainbow Road,Peter,3,Lose,Lose,24,108,100-109,1,7,Cup Lose,NO,Lose
65,3,9,33,8/30/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,114,110-119,2,8,Cup Win,NO,Win
66,3,9,33,8/30/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,27,112,110-119,1,8,Cup Lose,NO,Lose
67,3,9,34,8/30/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,114,110-119,2,8,Cup Win,NO,Win
68,3,9,34,8/30/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Lose,27,112,110-119,1,8,Cup Lose,NO,Lose
69,3,9,35,8/30/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,33,114,110-119,2,8,Cup Win,NO,Win
70,3,9,35,8/30/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Lose,27,112,110-119,1,8,Cup Lose,NO,Lose
71,3,9,36,8/30/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Win,33,114,110-119,2,8,Cup Win,NO,Win
72,3,9,36,8/30/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Lose,27,112,110-119,1,8,Cup Lose,NO,Lose
73,3,10,37,8/30/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,6,Lose,Tie,30,114,110-119,2,8,Cup Win,NO,Win
74,3,10,37,8/30/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Tie,30,112,110-119,1,8,Cup Lose,NO,Lose
75,3,10,38,8/30/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Tie,30,114,110-119,2,8,Cup Win,NO,Win
76,3,10,38,8/30/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Tie,30,112,110-119,1,8,Cup Lose,NO,Lose
